name,Clienti a Rischio (Cluster 3) %,Clienti Fedeli %
The Barbecue Chicken Pizza,3.8062283737024223,4.878836833602585
The Big Meat Pizza,5.190311418685121,3.8126009693053313
The Calabrese Pizza,2.0761245674740483,
The California Chicken Pizza,3.1141868512110724,4.792676359719978
The Chicken Alfredo Pizza,3.1141868512110724,
The Classic Deluxe Pizza,7.26643598615917,4.932687129779214
The Five Cheese Pizza,3.4602076124567476,2.9186860527732903
The Four Cheese Pizza,5.536332179930796,3.8233710285406572
The Green Garden Pizza,2.768166089965398,
The Hawaiian Pizza,7.612456747404845,4.868066774367259
The Italian Capocollo Pizza,,2.8971459343026384
The Italian Supreme Pizza,3.8062283737024223,3.726440495422725
The Mediterranean Pizza,2.0761245674740483,
The Mexicana Pizza,,3.091007000538503
The Napolitana Pizza,,2.9402261712439417
The Pepper Salami Pizza,,2.9025309639203014
The Pepperoni Pizza,7.958477508650519,4.932687129779214
"The Pepperoni, Mushroom, and Peppers Pizza",4.1522491349480966,
The Prosciutto and Arugula Pizza,2.768166089965398,3.091007000538503
The Sicilian Pizza,5.190311418685121,3.817985998922994
The Soppressata Pizza,2.768166089965398,
The Southwest Chicken Pizza,,4.054927302100161
The Spicy Italian Pizza,,4.054927302100161
The Spinach and Feta Pizza,3.4602076124567476,2.854065697361335
The Thai Chicken Pizza,2.422145328719723,4.841141626278945
The Vegetables + Vegetables Pizza,5.190311418685121,3.0640818524501885
